family,params,build_sec,index_bytes,search_sec,recall_at_k
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 32}",169.144912,26261172,0.651724,0.639174
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 64}",169.144912,26261172,1.190635,0.658862
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 1}",173.185275,42261172,0.119454,0.213293
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 2}",173.185275,42261172,0.171222,0.326338
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 4}",173.185275,42261172,0.242762,0.455652
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 8}",173.185275,42261172,0.382655,0.581921
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 16}",173.185275,42261172,0.639310,0.683618
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 32}",173.185275,42261172,1.137470,0.748853
IVF_PQ,"{""nlist"": 4096, ""m"": 32, ""nprobe"": 64}",173.185275,42261172,2.126118,0.781651
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 1}",175.829646,74261172,0.161930,0.215661
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 2}",175.829646,74261172,0.249515,0.329758
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 4}",175.829646,74261172,0.412508,0.465799
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 8}",175.829646,74261172,0.656790,0.608891
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 16}",175.829646,74261172,1.172926,0.738182
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 32}",175.829646,74261172,2.193795,0.832578
IVF_PQ,"{""nlist"": 4096, ""m"": 64, ""nprobe"": 64}",175.829646,74261172,4.196292,0.885010
LSH,"{""nbits"": 64}",0.337277,8032861,2.204237,0.101669
LSH,"{""nbits"": 128}",0.827965,16065629,3.227462,0.201895
LSH,"{""nbits"": 192}",1.223900,24098397,14.034551,0.275801
LSH,"{""nbits"": 256}",1.612426,32131165,5.983288,0.322899
LSH,"{""nbits"": 384}",2.481771,48196701,19.263572,0.410571
LSH,"{""nbits"": 512}",3.417162,64262237,10.947065,0.470058
